"","time_CFU_trans","time_CFU_recip","Even_trans","prop_trans","ratio_trans","Even_recip","prop_recip","ratio_recip","trans_pop_size","recip_pop_size"
"1",1.70826082021333,1.48327311208517,0.984391282659545,1,1.05802236363191,0.0822711078938938,0.666666666666667,11.1549353788904,207753287,9716711764
"2",1.65971297957798,1.43156668212252,0.996651807490436,1,1.00209300112033,0,0.333333333333333,NA,208271079,9715975807
"3",1.15481295924284,0.929888187201688,0.990117013421454,1,1.01407966577686,0,0.333333333333333,NA,225194680,9698967697
"4",0.850980515214875,0.618321901282348,0.995099442633756,1,1.01229471911973,0,0.333333333333333,NA,232174747,9692295933
"5",1.86231635407952,1.66616561374199,0.92299062096364,1,1.3161928786453,0.224952842938958,0.666666666666667,3.44537613721715,218141849,9705884697
"6",0.831523327344081,0.605236571343945,0.998573829548475,1,1.00382851301274,0,0.333333333333333,NA,234871645,9689411072
"7",2.06877902708469,1.8419169491669,0.997548713202264,1,1.00667296555883,0,0.333333333333333,NA,195762895,9728340300
"8",1.15066804288747,0.930458398961347,0.989112099240437,1,1.02071241023682,0,0.333333333333333,NA,226621708,9697638986
"9",1.070102574096,0.854982165192993,0.982035668338885,1,1.03551359341032,0,0.333333333333333,NA,231818421,9692440067
"10",1.68544996631506,1.47722728162271,0.969891191487279,1,1.1076181169922,0.0235543320993148,0.666666666666667,41.4550352683992,215464698,9708889345
"11",1.20805966537103,0.987474607658235,0.99110689839578,1,1.01556581084451,0.0386315507016783,0.666666666666667,24.8855775094877,225132178,9699021992
"12",4.35432196202011,4.13015278132768,0.983896820159366,1,1.03334903383027,0,0.333333333333333,NA,125641003,9798533554
"13",1.68625526878666,1.46632549358481,0.990018386701314,1,1.01663092545513,0.00205092025483533,0.666666666666667,486.585998354832,210054354,9714344682
"14",1.67437200408152,1.44358379639956,0.997779864282791,1,1.00268972746759,0.485531642286696,0.666666666666667,1.05959800125554,207333421,9717008363
"15",2.95301646261428,2.72813012342631,0.996207038987134,1,1.00820045544085,0.00116734629805193,1,1018.7917263067,169158343,9754954167
"16",1.12775344601005,0.900079822209421,0.993950986197519,1,1.01607471924684,0,0.333333333333333,NA,225158631,9699169864
"17",1.44851374745342,1.23108917669103,0.991978886978731,1,1.00081170280453,0.133143668668155,0.666666666666667,6.5106838350112,218724799,9705414022
"18",0.841997470367419,0.616324479890812,0.997915526366195,1,1.00216905690944,0,0.333333333333333,NA,234479499,9689769816
"19",1.43745529419791,1.21664910736466,0.985755077294833,1,1.02420653918972,0,0.333333333333333,NA,217799380,9706178180
"20",0.844872056379161,0.618227056328246,0.993381560264683,1,1.0147247845089,0,0.333333333333333,NA,234656716,9689589514
"21",0.745953928635823,0.52542277662305,0.986268891106333,1,1.01995817978219,0,0.333333333333333,NA,239303591,9684983438
